np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
9,-1,0,warmup,24,256,0.1802799699944444,4.402626497030724,0.016558221674652075,60.62979396901603,True,
9,-1,1,warmup,24,256,0.18004313099663705,4.402466920029838,0.016558524662875298,60.628684563804946,True,
9,-1,2,warmup,24,256,0.17983830498997122,4.402229620958678,0.016558397317524343,60.629150839674864,True,
9,-1,3,warmup,24,256,0.17966115399030969,4.402095994970296,0.01655856800384308,60.628525872192,True,
9,-1,4,warmup,24,256,0.1792609310359694,4.4017379360157065,0.016558733352861715,60.62792045950491,True,
9,-1,5,warmup,24,256,0.17903049400774762,4.401375016954262,0.016558213815476525,60.629822746286315,True,
9,-1,6,warmup,24,256,0.1472185819875449,4.384031524008606,0.01661495271380808,60.422776153502284,True,
9,-1,7,warmup,24,256,0.1784094239701517,4.400772693974432,0.016558287333350116,60.629553553249934,True,
9,-1,8,warmup,24,256,0.1781622639973648,4.40070877695689,0.01655900593317461,60.62692245409349,True,
9,0,0,measure,24,256,0.033271231048274785,4.256491483014543,0.01656164804692654,60.617250516548424,True,
9,0,1,measure,24,256,0.03303489199606702,4.256180596014019,0.016561355702031183,60.618320546326046,True,
9,0,2,measure,24,256,0.032816107966937125,4.255949668993708,0.016561308082457923,60.618494845272835,True,
9,0,3,measure,24,256,0.032640239980537444,4.255797317018732,0.01656140030211057,60.61815730035293,True,
9,0,4,measure,24,256,0.032467288023326546,4.255729363008868,0.01656181205876683,60.61665022312792,True,
9,0,5,measure,24,256,0.032235618971753865,4.255261315964162,0.016560885086244738,60.62004315586342,True,
9,0,6,measure,24,256,0.051859328988939524,4.263264644017909,0.01651531496089792,60.787309900196355,True,
9,0,7,measure,24,256,0.05170265899505466,4.263129215978552,0.01651539826268038,60.787003295948296,True,
9,0,8,measure,24,256,0.05147869500797242,4.262931603996549,0.01651550160387677,60.78662293803993,True,
9,1,0,measure,24,256,0.04597512900363654,4.258131782000419,0.016518261384301108,60.7764670428072,True,
9,1,1,measure,24,256,0.04575398098677397,4.257908308994956,0.016518252266698754,60.77650058967704,True,
9,1,2,measure,24,256,0.045395109977107495,4.257449890952557,0.016517861886178233,60.77793697182499,True,
9,1,3,measure,24,256,0.045327556028496474,4.257449240016285,0.016518124250932506,60.77697160867258,True,
9,1,4,measure,24,256,0.045155975967645645,4.2573682889924385,0.016518479658920757,60.77566394467097,True,
9,1,5,measure,24,256,0.04496112000197172,4.256974748976063,0.01651770050578075,60.77853078133397,True,
9,1,6,measure,24,256,0.04466909100301564,4.256888137024362,0.016518506062828807,60.77556679817137,True,
9,1,7,measure,24,256,0.044510105974040926,4.256678992998786,0.016518309360881354,60.7762905206835,True,
9,1,8,measure,24,256,0.04439794400241226,4.256713422015309,0.016518884227501557,60.7741754710083,True,
9,2,0,measure,24,256,0.025963029998820275,4.242883939004969,0.01653694474120058,60.70780209637238,True,
9,2,1,measure,24,256,0.060160347959026694,4.259958237991668,0.01646979564718683,60.955314208705964,True,
9,2,2,measure,24,256,0.060068866005167365,4.259870504029095,0.016469810345191873,60.95525981090192,True,
9,2,3,measure,24,256,0.05994853697484359,4.2596859079785645,0.01646955831766165,60.95619258658952,True,
9,2,4,measure,24,256,0.059556490974500775,4.2592659359797835,0.016469448803942285,60.95659791523458,True,
9,2,5,measure,24,256,0.05947904696222395,4.259217188984621,0.016469561341264302,60.9561813958054,True,
9,2,6,measure,24,256,0.05926854000426829,4.259234383003786,0.01647045428627262,60.952876658913674,True,
9,2,7,measure,24,256,0.05917931400472298,4.258931322954595,0.01646961572137205,60.95598012798179,True,
9,2,8,measure,24,256,0.058987814001739025,4.258867196040228,0.01647011522368035,60.95413146740078,True,
