np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
8,-1,0,warmup,24,128,0.41745905700008734,6.056424553000397,0.044401303118112675,22.69919900924908,True,
8,-1,1,warmup,24,128,0.4167815699984203,6.055839747001301,0.04440203288978646,22.698825935509518,True,
8,-1,2,warmup,24,128,0.41782329099805793,6.056271924000612,0.04439723333072877,22.701279790118118,True,
8,-1,3,warmup,24,128,0.41583574499964016,6.054886598001758,0.044401975220489116,22.69885541675074,True,
8,-1,4,warmup,24,128,0.41768243499973323,6.05608715100243,0.04439688752758029,22.7014566082345,True,
8,-1,5,warmup,24,128,0.41656080699976883,6.05522518199723,0.04439893208659418,22.700411212195554,True,
8,-1,6,warmup,24,128,0.4150409480025701,6.054207598001085,0.044402887007862324,22.698389309000774,True,
8,-1,7,warmup,24,128,0.41715688499971293,6.055423379999411,0.04439579917322597,22.702013130013796,True,
8,0,0,measure,24,128,0.24939023000115412,5.897848415002954,0.04447604870080158,22.661051176739694,True,
8,0,1,measure,24,128,0.24889674299993203,5.897366860997863,0.044476142661401034,22.661003302849885,True,
8,0,2,measure,24,128,0.24934070400195196,5.897578856998734,0.04447431616532899,22.661933957598286,True,
8,0,3,measure,24,128,0.24929725900074118,5.897591662000195,0.04447475907873586,22.661708272859723,True,
8,0,4,measure,24,128,0.2493741290018079,5.897683161001623,0.044474874267715084,22.661649579516876,True,
8,0,5,measure,24,128,0.24931713700061664,5.8976448659996095,0.04447502148818105,22.661574565306676,True,
8,0,6,measure,24,128,0.2493212859990308,5.897568305997993,0.044474385984243796,22.66189838135364,True,
8,0,7,measure,24,128,0.24932588400042732,5.897522556002514,0.04447398954332352,22.662100389402433,True,
8,1,0,measure,24,128,0.25178990099811926,5.910438865001197,0.04455629105514235,22.62024041679543,True,
8,1,1,measure,24,128,0.25194022600044264,5.9105947200005176,0.044556334598425784,22.620218310858107,True,
8,1,2,measure,24,128,0.2515399910007545,5.910197001001507,0.04455635440945474,22.620208253262373,True,
8,1,3,measure,24,128,0.25186117199700675,5.91047386399805,0.04455600544882711,22.620385413714477,True,
8,1,4,measure,24,128,0.25250217800203245,5.911070954000024,0.04455565965352749,22.620560969929162,True,
8,1,5,measure,24,128,0.25184402800005046,5.9102991510008,0.04455476474803739,22.621015315593773,True,
8,1,6,measure,24,128,0.25175801899968064,5.910279953997815,0.044555290826756966,22.620748221954575,True,
8,1,7,measure,24,128,0.2519967270018242,5.910475546999805,0.04455495133856678,22.620920581628273,True,
8,2,0,measure,24,128,0.2541506859997753,5.906545997000649,0.04450704969292026,22.645266821816634,True,
8,2,1,measure,24,128,0.25473738700020476,5.906622066999262,0.044503028976370526,22.647312754445895,True,
8,2,2,measure,24,128,0.25492161800139,5.906751580001583,0.04450259812598577,22.647532013631313,True,
8,2,3,measure,24,128,0.25549327800035826,5.906452895000257,0.04449574501574723,22.65102012319022,True,
8,2,4,measure,24,128,0.25355916699845693,5.906538962997729,0.04451165193700214,22.642925433872627,True,
8,2,5,measure,24,128,0.2548325629977626,5.9069406109993,0.04450478777953966,22.6464177458989,True,
8,2,6,measure,24,128,0.2531726699999126,5.906442634997802,0.04451393673226685,22.64176322597532,True,
8,2,7,measure,24,128,0.2546052369980316,5.906037038999784,0.04449946300788782,22.649127598896627,True,
