prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.045125,97,100.667415,12,179.198089,289
code_cpp,2.041503,192,99.832572,18,176.477509,702
explain_concept,2.511669,192,80.401067,20,186.388079,743
summarize,2.326105,192,87.459493,28,243.232913,759
qa_factual,2.309404,192,88.308993,31,262.598369,787
stepwise_math,2.207199,192,94.591066,40,248.433317,559
