version_label,repeat,phase,prompt_eval_count,prompt_eval_duration_ns,prompt_tps,eval_count,eval_duration_ns,generation_tps,total_duration_ns,load_duration_ns
0.32.0,1,cold,25,133363000,187.458290530357,128,1756542000,72.87044659336355,22576305698,20684421504
0.32.0,2,warm,25,26966000,927.0933768449158,128,1750471000,73.12317656219383,2001806358,200992262
0.32.0,3,warm,25,27055000,924.0436148586214,128,1752938000,73.02026654679173,2011500497,200697665
0.32.0,4,warm,25,29125000,858.3690987124463,128,1745546000,73.32949117353539,1973740613,197830699
0.32.0,5,warm,25,28529000,876.3013074415506,128,1744619000,73.368454659728,1973446006,198984288
0.32.0,6,warm,25,28526000,876.3934656103204,128,1743877000,73.39967210990224,1976751801,202905599
0.32.0,7,warm,25,28287000,883.7982111924206,128,1744225000,73.3850277343806,1974925442,201186721
0.32.0,8,warm,25,28632000,873.1489242805253,128,1751865000,73.06499073844161,1986073881,204271936
0.32.0,9,warm,25,28491000,877.470078270331,128,1757323000,72.83806107357611,1996716808,209295025
0.32.0,10,warm,25,28494000,877.3776935495192,128,1747583000,73.24401759458635,1977975738,200216793
