version_label,repeat,phase,prompt_eval_count,prompt_eval_duration_ns,prompt_tps,eval_count,eval_duration_ns,generation_tps,total_duration_ns,load_duration_ns
0.31.2,1,cold,25,137515000,181.7983492709886,128,1757146000,72.84539816270248,22830723428,20934284530
0.31.2,2,warm,25,27927000,895.1910337666058,128,1752410000,73.04226750589189,2007674747,209351757
0.31.2,3,warm,25,26997000,926.0288180168167,128,1746856000,73.2745000160288,1996510357,202260215
0.31.2,4,warm,25,28740000,869.8677800974252,128,1747756000,73.23676760371585,1987568802,209583340
0.31.2,5,warm,25,28605000,873.9730816290859,128,1748119000,73.22155985948325,1988015848,209820415
0.31.2,6,warm,25,28717000,870.5644740049448,128,1748035000,73.22507844522563,1987893617,209441752
0.31.2,7,warm,25,28946000,863.6771920127134,128,1746788000,73.27735248925457,1981568779,204683272
0.31.2,8,warm,25,28893000,865.2614820198664,128,1749610000,73.15916118449255,1984107621,204238720
0.31.2,9,warm,25,28821000,867.4230595746158,128,1747657000,73.24091626675029,1989067255,211280964
0.31.2,10,warm,25,28675000,871.8395815170009,128,1752229000,73.04981255303959,1993757013,211047188
