version_label,repeat,phase,prompt_eval_count,prompt_eval_duration_ns,prompt_tps,eval_count,eval_duration_ns,generation_tps,total_duration_ns,load_duration_ns
0.31.1,1,cold,25,214157000,116.73678656312892,128,1792464000,71.4100813182301,22933786930,20925290302
0.31.1,2,warm,25,27233000,918.0038923365036,128,1769036000,72.35579151583121,2011965383,197920876
0.31.1,3,warm,25,27301000,915.7173729900004,128,1768094000,72.39434102485501,2014504577,200568192
0.31.1,4,warm,25,28940000,863.8562543192812,128,1762763000,72.61327813211419,1992101654,199281471
0.31.1,5,warm,25,29183000,856.6631257924134,128,1762650000,72.6179332255411,1987329897,194286658
0.31.1,6,warm,25,28797000,868.1459874292461,128,1762477000,72.62506120647248,1988972852,195956906
0.31.1,7,warm,25,28853000,866.4610265830242,128,1761671000,72.6582886361869,1989023974,196871831
0.31.1,8,warm,25,28717000,870.5644740049448,128,1762429000,72.62703916015907,1991055944,198476043
0.31.1,9,warm,25,28732000,870.1099819017123,128,1762616000,72.61933398993314,1987496362,193825394
0.31.1,10,warm,25,28978000,862.7234453723514,128,1766664000,72.45293955160687,1993856149,197038507
