np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
4,-1,0,warmup,24,128,0.2763066549996438,4.12801041900093,0.030328376094498313,33.232046866197486,True,
4,-1,1,warmup,24,128,0.27744845500274096,4.1282941330027825,0.03032161951181135,33.23945198096786,True,
4,-1,2,warmup,24,128,0.27623589699942386,4.127679874000023,0.030326330527563772,33.234288429059,True,
4,-1,3,warmup,24,128,0.2763936039991677,4.127599065999675,0.030324452456696908,33.2363467135068,True,
4,0,0,measure,24,128,0.1569422989996383,3.9598913100016944,0.029944480401590992,33.658089979563705,True,
4,0,1,measure,24,128,0.15696376100095222,3.959862653999153,0.029944085771639376,33.658533555985485,True,
4,0,2,measure,24,128,0.15702612300083274,3.959898704000807,0.029943878590550976,33.65876643869622,True,
4,0,3,measure,24,128,0.15711414399993373,3.959913934002543,0.029943305433091413,33.65941071536458,True,
4,1,0,measure,24,128,0.1520615320005163,3.9741139190009562,0.030094900685042832,33.489860169199524,True,
4,1,1,measure,24,128,0.15274266200140119,3.9746246569993673,0.030093559015732015,33.49135325672663,True,
4,1,2,measure,24,128,0.15230107000024873,3.974220226999023,0.030093851629911607,33.49102760732232,True,
4,1,3,measure,24,128,0.15168141899994225,3.973720500998752,0.03009479592125047,33.4899767516401,True,
4,2,0,measure,24,128,0.15296308799952385,3.9501415679987986,0.02989904314960059,33.70923981430139,True,
4,2,1,measure,24,128,0.15214933799870778,3.949544792998495,0.02990075161417155,33.707313740914344,True,
4,2,2,measure,24,128,0.15220327399947564,3.949514472998999,0.029900088181098607,33.70806164997068,True,
4,2,3,measure,24,128,0.15142928199929884,3.948869192998245,0.029901101661409028,33.70691913498339,True,
4,3,0,measure,24,128,0.1857114560007176,4.2520347259996925,0.03201829346455886,31.47806790089079,True,
4,3,1,measure,24,128,0.25550993499928154,4.279855716002203,0.031687762055141115,31.806412014650657,True,
4,3,2,measure,24,128,0.25594453400117345,4.280113550001261,0.031686370204725096,31.807809138003964,True,
4,3,3,measure,24,128,0.2554096390013001,4.279681426000025,0.031687179425186805,31.806996836926256,True,
4,4,0,measure,24,128,0.15870419299972127,4.003025549001904,0.030270246897654986,33.29586372901738,True,
4,4,1,measure,24,128,0.15764692799712066,4.002211498998804,0.030272161976391206,33.2937573647385,True,
4,4,2,measure,24,128,0.1577969509999093,4.002363837000303,0.03027218020472751,33.2937373169652,True,
4,4,3,measure,24,128,0.15789357999892673,4.0023696680000285,0.030271465259851194,33.294523641205004,True,
