label,configured_context,run_complete,prompt_tokens,retrieval_pass,prompt_tps,generation_tps,load_seconds,total_seconds
"16k",16384,true,14055,true,259.96908374779645,30.54336648985451,4.6461602,59.141738296
"32k-chat",32768,true,28056,true,190.52530092264539,30.336973770185754,5.133275363,152.90593554
"32k",32768,true,28055,true,190.20813923102907,27.979071654402507,4.895627845,152.8983596
"64k-28k",65536,true,28059,true,180.04520360835252,37.027951474869596,5.081548487,161.433462581
"64k-42k",65536,true,42059,true,132.16139524826505,34.581061249543424,5.07662665,323.897892395
"64k-50k",65536,true,50059,true,113.55914729740913,32.87858145360318,5.404502371,446.844176367
"64k",65536,false,,false,,,,
