target,pp_avg_ts,pp_stddev_ts,tg_avg_ts,tg_stddev_ts,max_edge_c,avg_power_w,max_power_w,status
2200MHz,117.405631,0.54867,29.738618,0.027553,65.000,57.444,84.003,ok
2400MHz,125.811655,0.61002,30.011548,0.066671,67.000,64.677,97.025,ok
2500MHz,129.64153,0.575048,30.136049,0.03589,69.000,69.178,106.015,ok
2600MHz,133.916768,0.639565,30.270042,0.037379,73.000,74.197,119.009,ok
