combo,draft_n_max,ubatch,poll,prompt_id,wall_s,prompt_tokens,predicted_n,prompt_per_second,predicted_per_second,draft_n,draft_n_accepted,acceptance,content_chars
draft3_ub512_poll50,3,512,50,code_python,1.621288809008547,13,192,159.92520421218384,125.75757476517063,161,137,0.8509316770186336,897
draft3_ub512_poll50,3,512,50,code_cpp,1.6074612840020563,19,192,218.10501182358746,126.38821324587971,159,137,0.8616352201257862,756
draft3_ub512_poll50,3,512,50,explain_concept,2.1361644540011184,19,192,225.98870056497174,93.62044904658302,225,115,0.5111111111111111,860
draft3_ub512_poll50,3,512,50,summarize,2.0410307359998114,30,192,307.5156832998483,98.85757712435665,212,120,0.5660377358490566,776
draft3_ub512_poll50,3,512,50,qa_factual,2.1141692490054993,31,192,318.02700151832244,95.26588112008861,222,116,0.5225225225225225,623
draft3_ub512_poll50,3,512,50,stepwise_math,1.747950403005234,41,192,279.70692172299465,119.98117795270866,171,133,0.7777777777777778,582
