date,system,kernel,mesa_or_driver,backend,driver,tool,build_or_version,model,quant,cache_type_k,cache_type_v,prompt_type,target_prompt_tokens,ctx_size,n_predict,rep,request_wall_s,tokens_evaluated,tokens_predicted,truncated,prompt_eval_ms,prompt_tokens_log,prompt_eval_tps,eval_ms,eval_tokens_log,eval_tps,total_ms,total_tokens_log,error,source_log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,real-corpus-guide-files,65536,69760,128,0,95.36917424201965,65120,128,False,92204.63,65120,706.26,3105.27,128,41.22,95309.9,65248,,data/raw/2026-05-03/filled-kv-decode-real-corpus/qwen36-35b-a3b-real-corpus-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,real-corpus-guide-files,65536,69760,128,1,95.44226431846619,65120,128,False,92215.8,65120,706.17,3164.73,128,40.45,95380.53,65248,,data/raw/2026-05-03/filled-kv-decode-real-corpus/qwen36-35b-a3b-real-corpus-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,real-corpus-guide-files,65536,69760,128,0,129.14048266410828,63507,128,False,125694.86,63507,505.25,3387.74,128,37.78,129082.6,63635,,data/raw/2026-05-03/filled-kv-decode-real-corpus/qwen3-next-80b-a3b-real-corpus-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,real-corpus-guide-files,65536,69760,128,1,129.658766746521,63507,128,False,126052.65,63507,503.81,3393.56,128,37.72,129446.21,63635,,data/raw/2026-05-03/filled-kv-decode-real-corpus/qwen3-next-80b-a3b-real-corpus-64k-f16-f16.log
