np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
2,-1,0,warmup,24,128,0.271915215998888,3.335201922000124,0.024120367763789258,41.78518443906581,True,
2,-1,1,warmup,24,128,0.2246988950028026,3.314903165002761,0.024332317086613844,41.42120999658114,True,
2,0,0,measure,24,128,0.11937436399966828,2.976901922000252,0.02250021699213058,44.79396870263669,True,
2,0,1,measure,24,128,0.11929035100183683,2.976771869001823,0.022499854472440833,44.794690427110794,True,
2,1,0,measure,24,128,0.11362552900027367,2.949704357997689,0.022331329362184373,45.13273703511598,True,
2,1,1,measure,24,128,0.11350958099865238,2.94961528299973,0.022331540960638406,45.132309388076315,True,
2,2,0,measure,24,128,0.10796708899943042,2.948856425999111,0.02236920737795024,45.05631329349257,True,
2,2,1,measure,24,128,0.10794045700095012,2.9488493819990254,0.022369361614158072,45.05600263130108,True,
2,3,0,measure,24,128,0.1483603549968393,3.2576954229989497,0.0244829532913552,41.16635782268581,True,
2,3,1,measure,24,128,0.19849522300137323,3.278758063999703,0.024254038118097086,41.55489534734461,True,
2,4,0,measure,24,128,0.11035645199808641,2.9769689319982717,0.02257175181102508,44.65200681746551,True,
2,4,1,measure,24,128,0.11009741499947268,2.9769229220000852,0.0225734291889812,44.64868883279845,True,
