prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,4.837216,192,40.869003,12,105.321362,795
code_cpp,3.026793,192,66.345971,18,147.854872,719
explain_concept,5.636452,192,34.913293,20,157.243830,756
summarize,4.375128,192,45.423123,28,202.503815,713
qa_factual,5.068757,192,39.028729,31,222.160113,782
stepwise_math,3.672763,192,55.826027,40,179.127203,534
