prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,2.137701,192,93.169962,12,188.433334,774
code_cpp,2.399738,192,84.135174,18,166.432428,829
explain_concept,2.346690,192,86.277245,20,178.186419,789
summarize,2.465258,192,82.308655,28,227.983325,779
qa_factual,2.417803,192,84.066397,31,249.923411,776
stepwise_math,2.184027,192,95.941044,40,234.340215,564
