prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.064011,97,100.381553,12,142.374088,289
code_cpp,1.919417,192,107.947038,18,145.573357,703
explain_concept,2.639342,192,76.520791,20,175.294056,765
summarize,2.741052,192,73.806838,28,226.454770,833
qa_factual,2.682796,192,75.619578,31,246.695474,605
stepwise_math,2.181332,192,96.501664,40,231.036255,630
