prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.811963,97,72.538984,12,26.000477,289
code_cpp,2.842673,192,72.276176,18,106.841412,703
explain_concept,2.761570,192,72.463112,20,212.643800,765
summarize,2.781496,192,72.118418,28,273.285378,779
qa_factual,2.763181,192,72.616038,31,301.292643,636
stepwise_math,2.892270,192,72.602556,40,172.819024,638
