prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,0.972896,97,109.494160,12,163.418720,289
code_cpp,2.499082,254,107.179779,18,161.666966,960
explain_concept,6.929971,512,75.336195,20,172.836946,1952
summarize,7.199537,512,72.563520,28,223.869260,2205
qa_factual,6.667332,512,78.513603,31,243.515420,1878
stepwise_math,5.679987,512,93.304611,40,229.360428,1386
