prompt_id,wall_s,prompt_tokens,predicted_n,prompt_per_second,predicted_per_second,draft_n,draft_n_accepted,acceptance,content_chars
code_python,1.707357890001731,13,192,160.75579957461542,119.08313429290358,135,122,0.9037037037037037,948
code_cpp,1.7258775060035987,19,192,220.78903027133808,117.17255306177374,138,121,0.8768115942028986,756
explain_concept,2.1095280979934614,19,192,224.83876693686764,94.8655034443095,177,102,0.576271186440678,860
summarize,1.9776136959990254,30,192,311.3583527067419,102.12325958296478,163,109,0.6687116564417178,782
qa_factual,2.163442245000624,31,192,323.4456350489864,92.91107829113298,178,101,0.5674157303370787,623
stepwise_math,1.8175843520002672,41,192,276.3399115712283,115.10536037270155,142,119,0.8380281690140845,565
