prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.070945,89,93.436456,12,115.295926,288
code_cpp,2.111750,190,93.850472,18,217.712088,751
explain_concept,1.709686,151,93.682569,20,220.662871,811
summarize,2.147769,192,93.877110,28,293.842941,906
qa_factual,2.146183,192,93.786635,31,339.811679,655
stepwise_math,2.226929,192,93.654242,40,236.689192,651
