prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.052737,89,92.162463,12,162.197232,288
code_cpp,2.122382,190,93.363616,18,217.978372,751
explain_concept,1.722464,151,92.962207,20,219.534149,811
summarize,1.961648,192,103.302950,28,291.763921,906
qa_factual,2.162869,192,93.099305,31,338.365151,655
stepwise_math,2.201593,192,93.136834,40,301.665950,651
