build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"b1c70e2e5","8460","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf","qwen3moe 30B.A3B Q4_K - Medium","17659361280","30532122624","2048","2048","16","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","512","0","0","2026-05-07T02:54:29Z","398655769","1635556","1284.333264","5.248425"
"b1c70e2e5","8460","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf","qwen3moe 30B.A3B Q4_K - Medium","17659361280","30532122624","2048","2048","16","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","2048","0","0","2026-05-07T02:54:32Z","1241284003","8371990","1649.964615","11.150519"
"b1c70e2e5","8460","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf","qwen3moe 30B.A3B Q4_K - Medium","17659361280","30532122624","2048","2048","16","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","8192","0","0","2026-05-07T02:54:39Z","7441114283","6375989","1100.911033","0.944061"
"b1c70e2e5","8460","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf","qwen3moe 30B.A3B Q4_K - Medium","17659361280","30532122624","2048","2048","16","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","16384","0","0","2026-05-07T02:55:24Z","21667429169","5884070","756.158049","0.205294"
