prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,4.456431,512,117.104964,12,164.862340,1603
code_cpp,4.513134,512,116.578140,18,173.130194,1953
explain_concept,5.617787,512,93.246342,20,182.575038,2096
summarize,5.395935,512,97.306603,28,238.763207,2181
qa_factual,5.403647,512,97.223971,31,257.498609,1896
stepwise_math,4.798257,512,110.969101,40,240.271988,1334
