timestamp,power1_average_uw,temp1_input_mc,freq1_input_hz,gpu_busy_percent
2026-07-10T01:52:03.649782492+02:00,37057000,54000,2900000000,1
2026-07-10T01:52:04.655224380+02:00,46006000,54000,2900000000,1
2026-07-10T01:52:05.661685892+02:00,51094000,54000,2900000000,1
2026-07-10T01:52:06.667355776+02:00,49011000,54000,2900000000,1
2026-07-10T01:52:07.673285969+02:00,48026000,54000,2900000000,1
2026-07-10T01:52:08.677719754+02:00,47054000,54000,2900000000,1
2026-07-10T01:52:09.683592736+02:00,47051000,54000,2900000000,1
2026-07-10T01:52:10.689159087+02:00,48011000,53000,2900000000,1
2026-07-10T01:52:11.697094284+02:00,86072000,54000,2900000000,1
2026-07-10T01:52:12.709710310+02:00,107063000,54000,2900000000,1
2026-07-10T01:52:13.721545047+02:00,115028000,54000,2900000000,1
2026-07-10T01:52:14.730609704+02:00,116082000,54000,2900000000,1
2026-07-10T01:52:15.742907307+02:00,117082000,55000,2900000000,1
2026-07-10T01:52:16.752234107+02:00,117074000,55000,2900000000,1
2026-07-10T01:52:17.766495493+02:00,116010000,55000,2900000000,1
2026-07-10T01:52:18.774865813+02:00,118058000,55000,2900000000,1
2026-07-10T01:52:19.788410426+02:00,119042000,55000,2900000000,1
2026-07-10T01:52:20.800310833+02:00,119083000,55000,2900000000,1
2026-07-10T01:52:21.813038739+02:00,119081000,55000,2900000000,1
2026-07-10T01:52:22.826608723+02:00,119075000,56000,2900000000,1
2026-07-10T01:52:23.838003761+02:00,119066000,56000,2900000000,1
2026-07-10T01:52:24.852520929+02:00,119088000,56000,2900000000,1
2026-07-10T01:52:25.863505875+02:00,119097000,55000,2900000000,1
2026-07-10T01:52:26.879555721+02:00,119097000,56000,2900000000,1
2026-07-10T01:52:27.891387926+02:00,119099000,56000,2900000000,1
2026-07-10T01:52:28.902776402+02:00,120000000,56000,2900000000,1
2026-07-10T01:52:29.914990283+02:00,120003000,56000,2900000000,1
2026-07-10T01:52:30.926778682+02:00,120004000,56000,2900000000,1
2026-07-10T01:52:31.935585988+02:00,119097000,56000,2900000000,1
2026-07-10T01:52:32.945105007+02:00,119098000,57000,2900000000,1
2026-07-10T01:52:33.953312140+02:00,119093000,56000,2900000000,1
2026-07-10T01:52:34.961311405+02:00,118068000,57000,2900000000,1
2026-07-10T01:52:35.967815546+02:00,118083000,57000,2900000000,1
2026-07-10T01:52:36.977091039+02:00,119046000,57000,2900000000,1
2026-07-10T01:52:37.986467489+02:00,119062000,57000,2900000000,1
2026-07-10T01:52:38.995366807+02:00,119024000,57000,2900000000,1
2026-07-10T01:52:40.002949147+02:00,119072000,57000,2900000000,1
2026-07-10T01:52:41.010943344+02:00,119023000,58000,2900000000,1
2026-07-10T01:52:42.018270305+02:00,119072000,58000,2900000000,1
2026-07-10T01:52:43.032817554+02:00,119090000,58000,2900000000,1
2026-07-10T01:52:44.044072982+02:00,119096000,58000,2900000000,1
2026-07-10T01:52:45.058522791+02:00,119097000,57000,2900000000,1
2026-07-10T01:52:46.070838223+02:00,119099000,58000,2900000000,1
2026-07-10T01:52:47.081734850+02:00,120000000,58000,2900000000,1
2026-07-10T01:52:48.093876823+02:00,119098000,58000,2900000000,1
2026-07-10T01:52:49.105371129+02:00,119099000,57000,2900000000,1
2026-07-10T01:52:50.118765123+02:00,120002000,57000,2900000000,1
2026-07-10T01:52:51.128272732+02:00,120001000,57000,2900000000,1
2026-07-10T01:52:52.138473808+02:00,120002000,57000,2900000000,1
2026-07-10T01:52:53.150177635+02:00,120007000,58000,2900000000,1
2026-07-10T01:52:54.162205987+02:00,120002000,58000,2900000000,1
2026-07-10T01:52:55.171734197+02:00,119095000,58000,2900000000,1
2026-07-10T01:52:56.180389900+02:00,119099000,59000,2900000000,1
2026-07-10T01:52:57.189322565+02:00,120006000,58000,2900000000,1
2026-07-10T01:52:58.198743386+02:00,120006000,59000,2900000000,1
