np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
1,-1,0,warmup,24,128,0.15474996999910218,2.5479239089982,0.018843889283457465,53.48545624457773,True,
1,0,0,measure,24,128,0.09774320599899511,2.4955471329994907,0.018880345881893665,53.38217965141131,True,
1,1,0,measure,24,128,0.09168593799768132,2.489812122999865,0.018882883346473887,53.37500620297153,True,
1,2,0,measure,24,128,0.092114215996844,2.4892106169972976,0.018874774811027194,53.3979359138739,True,
1,3,0,measure,24,128,0.09175648699965677,2.488332860997616,0.018870680110220153,53.40952259596505,True,
1,4,0,measure,24,128,0.09205670500159613,2.48769435199938,0.01886328855903767,53.43045103687102,True,
