target,pp_avg_ts,pp_stddev_ts,tg_avg_ts,tg_stddev_ts,max_edge_c,avg_power_w,max_power_w,status
2200MHz,116.053661,0.551629,30.061465,0.014815,66.000,58.339,85.005,ok
2400MHz,125.094662,0.57485,30.370449,0.011092,69.000,66.215,102.034,ok
2500MHz,129.489116,0.611879,30.496013,0.013196,73.000,71.080,112.093,ok
2600MHz,132.677361,1.030983,30.62135,0.016104,79.000,76.779,127.003,ok
