date,system,kernel,mesa_or_driver,backend,driver,tool,build_or_version,model,quant,cache_type_k,cache_type_v,target_prompt_tokens,ctx_size,n_predict,rep,request_wall_s,tokens_evaluated,tokens_predicted,truncated,prompt_eval_ms,prompt_tokens_log,prompt_eval_tps,eval_ms,eval_tokens_log,eval_tps,total_ms,total_tokens_log,error,source_log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,131072,132224,128,0,216.68764114379883,131069,128,False,212591.93,131069,616.53,3891.31,128,32.89,216483.24,131197,,data/raw/2026-05-03/filled-kv-decode-128k/qwen36-35b-a3b-128k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,131072,132224,128,1,216.70224285125732,131069,128,False,212426.86,131069,617.01,4053.68,128,31.58,216480.54,131197,,data/raw/2026-05-03/filled-kv-decode-128k/qwen36-35b-a3b-128k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,131072,132224,128,0,268.3903968334198,131068,128,False,263797.4,131068,496.85,4395.59,128,29.12,268192.99,131196,,data/raw/2026-05-03/filled-kv-decode-128k/qwen3-next-80b-a3b-128k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,131072,132224,128,1,268.68847155570984,131068,128,False,262803.15,131068,498.73,4397.81,128,29.11,267200.96,131196,,data/raw/2026-05-03/filled-kv-decode-128k/qwen3-next-80b-a3b-128k-f16-f16.log
