date,model,quant,target_prompt_tokens,cache_type_k,cache_type_v,reps,tokens_evaluated_mean,prompt_eval_tps_mean,eval_tps_mean,request_wall_s_mean,truncated_any,notes
2026-05-03,Qwen3-Next 80B-A3B,UD-Q4_K_XL,131072,f16,f16,2,131068,497.79,29.12,268.54,False,128K server API request with long synthetic prompt; prompt cache disabled; f16 KV
2026-05-03,Qwen3.6 35B-A3B,UD-Q4_K_M,131072,f16,f16,2,131069,616.77,32.23,216.69,False,128K server API request with long synthetic prompt; prompt cache disabled; f16 KV
