np,rep,phase,requests,total_tokens,batch_wall_s,aggregate_tps,mean_request_tps,mean_ttft_s,p95_ttft_s,mean_itl_s,p95_itl_s,errors
4,0,measure,4,512,3.884875670999463,131.7931494750455,34.334309647457445,0.15574411524994503,0.15601352685062012,0.029354719157479878,0.02935591587283136,0
4,1,measure,4,512,4.198999883999932,121.9337971289185,32.35529847193759,0.23517428124978323,0.2526446135007063,0.031150848929134705,0.03134848132009268,0
4,2,measure,4,512,3.909055656000419,130.9779253754235,34.113795394931344,0.1558558972501487,0.15629685304993474,0.029544470372041637,0.029545888505893483,0
4,3,measure,4,512,4.201875733000634,121.85034316433051,32.333317686714445,0.23532604349929898,0.25311549849848236,0.031172022122060355,0.03136927624686296,0
4,4,measure,4,512,4.190081436001492,122.1933291321877,32.22295563485403,0.20153864474923466,0.2360074993475791,0.03127865843504599,0.031352594034241496,0
