build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"32e789fdf","10046","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen_Qwen3-0.6B-Q8_0.gguf","qwen3 0.6B Q8_0","798801920","751632384","2048","512","16","0x0","0","50","f16","f16","999","0","layer","0","0","-1","auto","0.00","none","0","0","0","0","0","0","0","512","0","0","2026-07-16T17:33:31Z","110713441","13220380","4666.045962","521.241175"
"32e789fdf","10046","AMD RYZEN AI MAX+ 395 w/ Radeon 8060S","Radeon 8060S Graphics","ROCm","/home/hoge-heer/models/Qwen_Qwen3-0.6B-Q8_0.gguf","qwen3 0.6B Q8_0","798801920","751632384","2048","512","16","0x0","0","50","f16","f16","999","0","layer","0","0","-1","auto","0.00","none","0","0","0","0","0","0","0","0","128","0","2026-07-16T17:33:32Z","613229569","1501178","208.731798","0.510115"
