np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
8,-1,0,warmup,24,128,0.5885385459987447,6.592253929997241,0.04727334948030312,21.320131254248686,True,
8,-1,1,warmup,24,128,0.5885133970004972,6.592268407999654,0.04727366150393037,21.319990533507458,True,
8,-1,2,warmup,24,128,0.5875829630022054,6.591293417000998,0.04727331066140781,21.3201487614622,True,
8,-1,3,warmup,24,128,0.4705114579992369,6.550018461999571,0.04787013388976641,21.054338767234846,True,
8,-1,4,warmup,24,128,0.5883401190003497,6.591834812999878,0.04727161176377581,21.320914987721327,True,
8,-1,5,warmup,24,128,0.5882042140001431,6.5918305839986715,0.047272648582665576,21.320447361555477,True,
8,-1,6,warmup,24,128,0.5876207360015542,6.591054320000694,0.04727113058267039,21.321132017043787,True,
8,-1,7,warmup,24,128,0.5862527179997414,6.5901038570009405,0.04727441841733228,21.3196491779265,True,
8,0,0,measure,24,128,0.2567202800019004,5.944012482999824,0.04478182837006239,22.506316790357243,True,
8,0,1,measure,24,128,0.2566398130002199,5.943995438999991,0.044782327763777725,22.506065809362692,True,
8,0,2,measure,24,128,0.25736613999833935,5.944339871999546,0.044779320724418946,22.507577145948535,True,
8,0,3,measure,24,128,0.2567546880018199,5.943986672999017,0.044781354212576355,22.506555093525535,True,
8,0,4,measure,24,128,0.257201108001027,5.944191572001728,0.04477945247244646,22.5075109251993,True,
8,0,5,measure,24,128,0.2573045600001933,5.944234676000633,0.044778977291342045,22.507749768168612,True,
8,0,6,measure,24,128,0.2578445629987982,5.944544279998809,0.044777163125984336,22.508661678996784,True,
8,0,7,measure,24,128,0.25707922000219696,5.943882219002262,0.04477797637007925,22.508252883475443,True,
8,1,0,measure,24,128,0.2487465210033406,5.955677876001573,0.044936467362190806,22.42886623962899,True,
8,1,1,measure,24,128,0.24834433700016234,5.955201917000522,0.044935886456695745,22.429156187211515,True,
8,1,2,measure,24,128,0.24868529200102785,5.9555795039996156,0.04493617489762668,22.42901221664203,True,
8,1,3,measure,24,128,0.24880090700025903,5.955761558998347,0.04493669804722904,22.428751099796944,True,
8,1,4,measure,24,128,0.24883218800096074,5.955758813001012,0.04493643011811064,22.428884829056106,True,
8,1,5,measure,24,128,0.24885792799977935,5.9558187699985865,0.044936699543297695,22.428750353080968,True,
8,1,6,measure,24,128,0.248307534999185,5.955379183000332,0.04493757203150509,22.42831488629215,True,
8,1,7,measure,24,128,0.24872969800344435,5.955813550001039,0.044937668125965315,22.428266925708023,True,
8,2,0,measure,24,128,0.25098395600070944,5.96953291599857,0.04502794456691229,22.383300535744276,True,
8,2,1,measure,24,128,0.2508648950024508,5.969891616001405,0.045031706464558695,22.381430660222893,True,
8,2,2,measure,24,128,0.25095767499806243,5.969898357998318,0.04503102900000201,22.38176737529108,True,
8,2,3,measure,24,128,0.25103374399986933,5.9699967810011,0.045031205015757726,22.381679890541395,True,
8,2,4,measure,24,128,0.25092919999951846,5.9700859949989535,0.04503273066928689,22.38092162675401,True,
8,2,5,measure,24,128,0.2512415589990269,5.970371110997803,0.04503251615747068,22.38102823798865,True,
8,2,6,measure,24,128,0.2512653160010814,5.9705202219993225,0.04503350319683654,22.380537693075393,True,
8,2,7,measure,24,128,0.2504634610013454,5.9695750680002675,0.04503237485825923,22.381098463501996,True,
8,3,0,measure,24,128,0.257478044997697,6.004585151997162,0.04525281186613752,22.272074909497928,True,
8,3,1,measure,24,128,0.2591398860022309,6.004864496000664,0.04524192606297979,22.27743386400047,True,
8,3,2,measure,24,128,0.2590637869980128,6.00556071399842,0.045248007299215805,22.274439824126773,True,
8,3,3,measure,24,128,0.25816878200203064,6.004841060002946,0.04524938801575524,22.273760153332972,True,
8,3,4,measure,24,128,0.25715770999886445,6.00554326999918,0.045262878425199334,22.26712155334149,True,
8,3,5,measure,24,128,0.2578334680001717,6.005672462997609,0.04525857476375935,22.26923894552427,True,
8,3,6,measure,24,128,0.25812761199995293,6.005987196000206,0.045258736881891755,22.269159176452558,True,
8,3,7,measure,24,128,0.2569384019989229,6.005534192001505,0.045264533779547894,22.266307229776977,True,
8,4,0,measure,24,128,0.2558739380001498,6.077399148998666,0.04583878118896469,21.987365056527047,True,
8,4,1,measure,24,128,0.2564781660003064,6.07752971300215,0.04583505155119562,21.989154187429747,True,
8,4,2,measure,24,128,0.25718587699884665,6.077918631999637,0.04583254137795898,21.99035849739551,True,
8,4,3,measure,24,128,0.25623604400243494,6.077100807000534,0.045833580811008655,21.989859790879635,True,
8,4,4,measure,24,128,0.2585685940030089,6.0781256160007615,0.04582328363777758,21.994801239366467,True,
8,4,5,measure,24,128,0.25712525799826835,6.077374640997732,0.045828735299208376,21.99218479776467,True,
8,4,6,measure,24,128,0.25893326500226976,6.077934132001246,0.04581890446455887,21.996903407579868,True,
8,4,7,measure,24,128,0.25703840799906175,6.0771624369990604,0.04582774825984251,21.99265846607614,True,
