run,phase,model,timestamp,prompt_label,wall_seconds,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,total_duration_ns,load_duration_ns,done_reason
"0","cold","qwen3.6:35b-a3b","2026-07-10T02:17:21+02:00","reproducible_local_ai_benchmarks","28.717930",26,555917000,46.76957171664115,128,2183840000,58.61235255330061,28706397416,25963759205,"length"
"1","warm","qwen3.6:35b-a3b","2026-07-10T02:17:24+02:00","reproducible_local_ai_benchmarks","2.490131",26,31534000,824.5068814612799,128,2114850000,60.5243870723692,2479356975,310435454,"length"
"2","warm","qwen3.6:35b-a3b","2026-07-10T02:17:28+02:00","reproducible_local_ai_benchmarks","2.526409",26,32531999,799.2131070703648,128,2133224000,60.00307515760183,2515116655,325132983,"length"
"3","warm","qwen3.6:35b-a3b","2026-07-10T02:17:31+02:00","reproducible_local_ai_benchmarks","2.479184",26,32100000,809.9688473520249,128,2104840000,60.81222325687463,2469527531,309202741,"length"
"4","warm","qwen3.6:35b-a3b","2026-07-10T02:17:35+02:00","reproducible_local_ai_benchmarks","2.483878",26,32275000,805.5770720371805,128,2108856000,60.69641549731229,2473716798,308999915,"length"
"5","warm","qwen3.6:35b-a3b","2026-07-10T02:17:38+02:00","reproducible_local_ai_benchmarks","2.502238",26,33511000,775.8646414610128,128,2115107000,60.5170329444326,2493286791,319240893,"length"
"6","warm","qwen3.6:35b-a3b","2026-07-10T02:17:42+02:00","reproducible_local_ai_benchmarks","2.468346",26,33418000,778.0238194984739,128,2090866000,61.21865294093452,2459340186,313394683,"length"
"7","warm","qwen3.6:35b-a3b","2026-07-10T02:17:45+02:00","reproducible_local_ai_benchmarks","2.472541",26,32589000,797.8152137224217,128,2109197000,60.686602531674374,2462145196,317415552,"length"
"8","warm","qwen3.6:35b-a3b","2026-07-10T02:17:49+02:00","reproducible_local_ai_benchmarks","2.500060",26,34104000,762.3739150832747,128,2119161999,60.40123410121606,2490799183,335174821,"length"
"9","warm","qwen3.6:35b-a3b","2026-07-10T02:17:52+02:00","reproducible_local_ai_benchmarks","2.502203",26,33155000,784.1954456341426,128,2124350000,60.2537246687222,2492411999,331805589,"length"
