np,rep,request,phase,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
8,-1,0,warmup,24,128,0.5422298560006311,6.279491769000742,0.045175290653544184,22.310293994067745,True,
8,-1,1,warmup,24,128,0.45475454600091325,6.238121399001102,0.04553832167716684,22.132436563936544,True,
8,-1,2,warmup,24,128,0.5411264309987018,6.2783840150004835,0.04517525656694316,22.310310828108054,True,
8,-1,3,warmup,24,128,0.5405465679978079,6.277914256999793,0.045176123535448705,22.309882674133718,True,
8,-1,4,warmup,24,128,0.5399519150014385,6.277395072000218,0.04517671777164393,22.30958921899908,True,
8,-1,5,warmup,24,128,0.5405679090035846,6.277839381000376,0.04517536592123458,22.310256822386524,True,
8,-1,6,warmup,24,128,0.5406311129991082,6.277873978000571,0.04517514066930286,22.31036806561393,True,
8,-1,7,warmup,24,128,0.5405719869995664,6.277855150998221,0.04517545798424137,22.3102113563433,True,
8,0,0,measure,24,128,0.2548195730014413,5.8960182949995215,0.044418887574788034,22.69021289763448,True,
8,0,1,measure,24,128,0.2548825459998625,5.896169579998968,0.04441958294487485,22.68985769179358,True,
8,0,2,measure,24,128,0.2552575980007532,5.896661041002517,0.04442049955119499,22.68938949203956,True,
8,0,3,measure,24,128,0.25479693899978884,5.896053363998362,0.04441934192912263,22.689980805123987,True,
8,0,4,measure,24,128,0.25527734699790017,5.896748241000751,0.044421030661439764,22.689118211363997,True,
8,0,5,measure,24,128,0.2548268270002154,5.896357066998462,0.0444214979527421,22.688879533514612,True,
8,0,6,measure,24,128,0.2551155910005036,5.896697701999074,0.04442190638581551,22.68867092272876,True,
8,0,7,measure,24,128,0.255224664000707,5.896654087002389,0.04442070411812348,22.689285002504555,True,
8,1,0,measure,24,128,0.2478825729995151,5.892672239999229,0.044447162732281206,22.6757784702426,True,
8,1,1,measure,24,128,0.24658820400145487,5.891577190999669,0.0444487321810883,22.674977806832786,True,
8,1,2,measure,24,128,0.24658042900045984,5.891535959999601,0.04444846874802473,22.67511219478896,True,
8,1,3,measure,24,128,0.2467598490002274,5.891727312999137,0.044448562708652835,22.675064261455365,True,
8,1,4,measure,24,128,0.24708019500030787,5.8920191539982625,0.044448338259826414,22.675178762733964,True,
8,1,5,measure,24,128,0.2470900350017473,5.892081716003304,0.04444875339371304,22.674966985476537,True,
8,1,6,measure,24,128,0.24712248899959377,5.892043683001248,0.04444819837796578,22.675250123246006,True,
8,1,7,measure,24,128,0.24712124600046081,5.892055475000234,0.04444830101574625,22.675197762699238,True,
8,2,0,measure,24,128,0.2496994299981452,5.938925536996976,0.04479705596062072,22.49866635508398,True,
8,2,1,measure,24,128,0.2487785299999814,5.9380113599982,0.04479710889762376,22.498639768279634,True,
8,2,2,measure,24,128,0.2487817269975494,5.938062429999263,0.044797485850407194,22.498450451296257,True,
8,2,3,measure,24,128,0.24928579200059175,5.93847874399944,0.04479679489762872,22.49879747091867,True,
8,2,4,measure,24,128,0.24922061399774975,5.938449215998844,0.04479707560630783,22.498656488329203,True,
8,2,5,measure,24,128,0.24937132900231518,5.938548699999956,0.044796672212579845,22.49885908857755,True,
8,2,6,measure,24,128,0.24938268199912272,5.938550804999977,0.04479659939370752,22.498895661477498,True,
8,2,7,measure,24,128,0.2494141720017069,5.938543700001901,0.04479629549606452,22.49904829377188,True,
8,3,0,measure,24,128,0.2534913460003736,5.926277184000355,0.0446676050236219,22.563869614568095,True,
8,3,1,measure,24,128,0.2525351580006827,5.926331971000764,0.04467556545669355,22.559849113158254,True,
8,3,2,measure,24,128,0.25283546400169143,5.927778908000619,0.04468459404723565,22.555290861154916,True,
8,3,3,measure,24,128,0.2517985980011872,5.926016605000768,0.04467888194487859,22.55817450829387,True,
8,3,4,measure,24,128,0.25291925800047466,5.926099666998198,0.044670711881871834,22.56230029226475,True,
8,3,5,measure,24,128,0.2519640119971882,5.926054979998298,0.044677881637804014,22.55867957032284,True,
8,3,6,measure,24,128,0.25115703499977826,5.926617749002617,0.04468866703939243,22.55323513810794,True,
8,3,7,measure,24,128,0.25260691799849155,5.925972548000573,0.044672170314977014,22.561563690361528,True,
8,4,0,measure,24,128,0.24942506600200431,5.9363083750031365,0.04477860873229238,22.507935022581368,True,
8,4,1,measure,24,128,0.2496002279985987,5.93624233599985,0.044776709511820875,22.50888970485776,True,
8,4,2,measure,24,128,0.24968694799827063,5.9361899939976865,0.04477561453542847,22.509440154094513,True,
8,4,3,measure,24,128,0.24976102199798333,5.936208408998937,0.04477517627559806,22.509660476698357,True,
8,4,4,measure,24,128,0.2499426680005854,5.936253678002686,0.04477410244096142,22.510200334601944,True,
8,4,5,measure,24,128,0.24994206600240432,5.936326410002948,0.04477467987402003,22.5099100336134,True,
8,4,6,measure,24,128,0.2502088780020131,5.93646937900121,0.04477370473227714,22.510400284599637,True,
8,4,7,measure,24,128,0.249786963002407,5.9360625139997865,0.04477382323619984,22.510340705797955,True,
