phase,model_label,backend_label,nodes,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,3,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052, 10.0.0.1:50052","Vulkan,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:38:32Z,753061341,6001534,679.932234,5.381479
Phase2,Qwen3-Coder-Next-UD-Q8_K_XL,Vulkan/RADV,3,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052, 10.0.0.1:50052","Vulkan,RPC",/models/Qwen3-Coder-Next-UD-Q8_K_XL-00001-of-00003.gguf,qwen3next 80B.A3B Q8_0,86342757376,79674391296,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:38:49Z,4350452008,52765667,29.426357,0.358154
Phase3,MiniMax-M2.7-UD-Q4_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/MiniMax-M2.7-UD-Q4_K_XL-00001-of-00004.gguf,minimax-m2 230B.A10B Q4_K - Medium,140772886528,228689764864,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:02:21Z,2145735360,11009611,238.617863,1.224563
Phase3,MiniMax-M2.7-UD-Q4_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/MiniMax-M2.7-UD-Q4_K_XL-00001-of-00004.gguf,minimax-m2 230B.A10B Q4_K - Medium,140772886528,228689764864,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:02:34Z,5979548823,9021508,21.406336,0.032285
Phase3,MiniMax-M2.7-UD-Q4_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/MiniMax-M2.7-UD-Q4_K_XL-00001-of-00004.gguf,minimax-m2 230B.A10B Q4_K - Medium,140772886528,228689764864,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T20:09:21Z,2166947466,11055738,236.281988,1.204771
Phase3,MiniMax-M2.7-UD-Q4_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/MiniMax-M2.7-UD-Q4_K_XL-00001-of-00004.gguf,minimax-m2 230B.A10B Q4_K - Medium,140772886528,228689764864,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T20:09:34Z,6485442838,17575308,19.736625,0.053472
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,1,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,Radeon 8060S Graphics,ROCm,/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:48:56Z,398427922,3103261,1285.124468,9.997905
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,1,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,Radeon 8060S Graphics,ROCm,/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:49:05Z,1730417091,369836,73.970609,0.015758
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:50:32Z,412101788,2446676,1242.453172,7.389551
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,2,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052","ROCm,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:50:41Z,2210052155,19840354,57.921694,0.528636
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:52:32Z,425441932,2553696,1203.495703,7.228876
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,ROCm-7.2,3,d6f303004,8738,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"Radeon 8060S Graphics, 10.0.0.3:50052, 10.0.0.1:50052","ROCm,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:52:42Z,2590529995,38022705,49.420999,0.736000
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,1,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,AMD Radeon 8060S Graphics (RADV GFX1151),Vulkan,/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:40:49Z,367943688,2940126,1391.601776,11.131481
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,1,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,AMD Radeon 8060S Graphics (RADV GFX1151),Vulkan,/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:40:58Z,1347432195,6404536,94.997507,0.443637
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,2,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052","Vulkan,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:44:51Z,378649236,1941042,1352.208768,6.952037
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,2,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052","Vulkan,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:45:00Z,1691458407,6064355,75.675269,0.272513
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,3,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052, 10.0.0.1:50052","Vulkan,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,512,0,0,2026-05-09T19:47:05Z,392585024,2077867,1304.210828,6.909845
Phase1,Qwen3-Coder-30B-A3B-UD-Q4_K_XL,Vulkan/RADV,3,1e5ad35d5,9093,AMD RYZEN AI MAX+ 395 w/ Radeon 8060S,"AMD Radeon 8060S Graphics (RADV GFX1151), 10.0.0.3:50052, 10.0.0.1:50052","Vulkan,RPC",/models/Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf,qwen3moe 30B.A3B Q4_K - Medium,17659361280,30532122624,2048,512,16,0x0,0,50,f16,f16,999,0,layer,0,0,1,auto,0.00,none,0,0,0,0,0,0,0,0,128,0,2026-05-09T19:47:14Z,1926635641,19672246,66.443610,0.675703
