prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.026948,97,108.254821,12,101.807939,289
code_cpp,1.913284,192,107.342087,18,166.771671,702
explain_concept,2.335944,192,87.018317,20,177.415063,743
summarize,2.142429,192,95.750809,28,232.396003,759
qa_factual,2.156103,192,95.204519,31,253.141817,787
stepwise_math,2.040675,192,103.556519,40,237.173368,559
