prompt_id,wall_s,predicted_n,predicted_per_second,prompt_n,prompt_per_second,content_chars
code_python,1.063147,97,105.901324,12,89.982004,289
code_cpp,1.781252,192,116.446984,18,158.254279,702
explain_concept,2.498337,192,81.641157,20,159.666616,743
summarize,2.383463,192,86.825026,28,199.857245,759
qa_factual,2.277348,192,91.259264,31,224.973511,787
stepwise_math,2.111225,192,101.512751,40,217.358228,559
