date,contributor,source,status,system,topology,backend,tool_build,model,quant,nodes,api,streaming,prompt_tokens,generated_tokens,warmups,measured_runs,ttft_mean_ms,ttft_range_ms,ttft_stdev_ms,total_mean_ms,gen_rate_tps,gen_rate_range_tps,llama_bench_tg128,server_overhead_pct,notes
2026-05-10,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4414026002,community-reported,Corsair AI Workstation 300 ai-2,single box,Vulkan/RADV,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,1,llama-server /completion,yes,83,128,2,5,201.4,199.7-203.9,2.1,1584.9,92.52,92.34-92.62,95.0,-2.6,"cache_prompt false; temperature 0; 1n server overhead is small and TTFT is effectively deterministic."
2026-05-10,Fail-Safe,https://github.com/hogeheer499-commits/strix-halo-guide/issues/12#issuecomment-4414026002,community-reported,Corsair AI Workstation 300 ai-2 leader + ai-3 follower,USB4 thunderbolt-net mesh,Vulkan/RADV RPC,kyuz0 vulkan-radv llama.cpp 1e5ad35d5 build 9093,Qwen3-Coder-30B-A3B Instruct,UD-Q4_K_XL,2,llama-server /completion,yes,83,128,2,5,300.8,285.6-330.1,18.5,2143.1,69.51,67.31-71.04,75.7,-8.2,"cache_prompt false; temperature 0; RPC adds about 100 ms TTFT and larger server overhead/variance than 1n."
