date,status,system,kernel,mesa_or_rocm,backend,driver,tool,build_or_version,model,quant,workload,n_prompt,n_gen,tps,stddev_tps,raw_evidence,notes
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp2048,2048,0,1572.97,18.55,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp8192,8192,0,914.61,0.82,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp16384,16384,0,564.68,0.43,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,tg128,0,128,93.67,4.25,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b9010-vulkan-tg128-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp512,512,0,1284.33,5.25,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp2048,2048,0,1649.96,11.15,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp8192,8192,0,1100.91,0.94,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,pp16384,16384,0,756.16,0.21,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b8460-hip-prefill-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,tg128,0,128,72.19,0.10,data/raw/2026-05-07/hip-vs-vulkan-crossover/qwen3-coder-b8460-hip-tg128-r5.csv,"Existing local HIP build requires HSA_OVERRIDE_GFX_VERSION=11.5.1, HSA_ENABLE_SDMA=0, and ROCBLAS_USE_HIPBLASLT=1."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Gemma 4 26B-A4B,UD-Q4_K_M,pp512,512,0,1166.58,11.40,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Gemma 4 26B-A4B,UD-Q4_K_M,pp2048,2048,0,1630.09,28.79,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Gemma 4 26B-A4B,UD-Q4_K_M,pp8192,8192,0,1463.32,3.05,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Gemma 4 26B-A4B,UD-Q4_K_M,pp16384,16384,0,1303.93,2.65,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b9010-vulkan-prefill-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,measured-local,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-bench,b9010 d05fe1d7d,Gemma 4 26B-A4B,UD-Q4_K_M,tg128,0,128,51.26,0.11,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b9010-vulkan-tg128-r5.csv,"Existing local Vulkan build; use as local direction, not a same-build ROCm fairness claim."
2026-05-07,failed-local,Beelink GTR9 Pro,6.19.4-061904-generic,Ollama bundled ROCm 7.2 libraries on PATH,ROCm HIP,gfx1151,llama-bench,b8460 b1c70e2e5,Gemma 4 26B-A4B,UD-Q4_K_M,load,,,,,data/raw/2026-05-07/hip-vs-vulkan-crossover/gemma4-26b-b8460-hip-prefill-r5.stderr,HIP build failed to load this Gemma 4 GGUF locally; no HIP performance claim made.
