date,system,model,tool_route,concurrency,n,mean_aggregate_decode_tps,stddev_aggregate_decode_tps,min_aggregate_decode_tps,max_aggregate_decode_tps,max_temp_c,mean_avg_ppt_w,source
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,8,5,228.111,0.081,227.997,228.222,87.0,139.905,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,9,5,234.120,0.577,233.253,234.666,87.0,139.905,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,12,5,246.132,0.755,244.785,246.561,87.0,139.905,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,16,5,227.195,0.109,227.002,227.266,87.0,139.905,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,24,1,294.923,n/a,294.923,294.923,94.0,148.869,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,32,1,326.839,n/a,326.839,326.839,94.0,148.869,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,48,1,344.075,n/a,344.075,344.075,83.0,135.867,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-density-dense16,64,1,423.167,n/a,423.167,423.167,84.0,139.738,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,1,1,91.859,n/a,91.859,91.859,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,2,1,136.602,n/a,136.602,136.602,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,4,1,182.783,n/a,182.783,182.783,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,8,5,228.181,0.037,228.144,228.223,86.0,132.199,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,9,5,147.191,0.091,147.082,147.327,86.0,132.199,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,12,5,177.018,0.084,176.928,177.104,86.0,132.199,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,16,5,212.659,0.063,212.580,212.724,86.0,132.199,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,24,1,267.533,n/a,267.533,267.533,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,32,1,330.898,n/a,330.898,330.898,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,48,1,339.197,n/a,339.197,339.197,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Coder 30B-A3B,vulkan-b9979-stock,64,1,423.804,n/a,423.804,423.804,94.0,144.955,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,1,1,47.900,n/a,47.900,47.900,85.0,95.099,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,2,1,69.300,n/a,69.300,69.300,85.0,95.099,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,4,1,89.390,n/a,89.390,89.390,85.0,95.099,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,8,3,112.193,0.372,111.780,112.500,85.0,91.188,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,9,3,116.900,0.356,116.620,117.300,85.0,91.188,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,12,3,130.500,0.355,130.140,130.850,85.0,91.188,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,16,3,143.323,0.386,142.950,143.720,85.0,91.188,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,24,1,145.090,n/a,145.090,145.090,86.0,95.021,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,32,1,156.610,n/a,156.610,156.610,86.0,95.021,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,48,1,159.740,n/a,159.740,159.740,82.0,91.019,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,lemonade-rocm-b1259,64,1,158.770,n/a,158.770,158.770,83.0,97.514,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,1,1,63.905,n/a,63.905,63.905,82.0,94.830,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,2,1,90.715,n/a,90.715,90.715,82.0,94.830,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,4,1,123.206,n/a,123.206,123.206,82.0,94.830,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,8,3,145.021,0.573,144.455,145.601,80.0,91.030,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,9,3,125.476,0.114,125.361,125.588,80.0,91.030,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,12,3,138.455,0.242,138.303,138.734,80.0,91.030,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,16,3,150.824,0.208,150.702,151.065,80.0,91.030,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,24,1,166.887,n/a,166.887,166.887,83.0,95.924,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,32,1,176.622,n/a,176.622,176.622,83.0,95.924,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,48,1,181.044,n/a,181.044,181.044,80.0,91.929,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density,64,1,193.906,n/a,193.906,193.906,84.0,100.839,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,1,1,64.938,n/a,64.938,64.938,81.0,95.407,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
2026-07-13,Beelink GTR9 Pro,Qwen3-Next 80B-A3B,vulkan-b9979-density-dense16,2,1,90.736,n/a,90.736,90.736,81.0,95.407,data/raw/2026-07-13/llamacpp-b9979-amd-density-gate
