np,rep,phase,requests,total_tokens,batch_wall_s,aggregate_tps,mean_request_tps,mean_ttft_s,p95_ttft_s,mean_itl_s,p95_itl_s,errors
1,0,measure,1,128,1.4291210174560547,89.56554304116935,89.56554304116935,0.0833120346069336,0.0833120346069336,0.01059692112479623,0.01059692112479623,0
1,1,measure,1,128,1.4178171157836914,90.27962674103327,90.27962674103327,0.07852506637573242,0.07852506637573242,0.010545606688251646,0.010545606688251646,0
1,2,measure,1,128,1.4101839065551758,90.7683029177952,90.7683029177952,0.07464432716369629,0.07464432716369629,0.01051605968024787,0.01051605968024787,0
2,0,measure,2,256,2.1411943435668945,119.55944156546953,59.784633996209784,0.1749972105026245,0.17519640922546387,0.015480481733487346,0.015480664771372877,0
2,1,measure,2,256,2.1006932258605957,121.864533501851,60.93972350532167,0.10860335826873779,0.10894060134887695,0.015683723246957375,0.01568435496232641,0
2,2,measure,2,256,2.0725419521331787,123.5198157202609,61.76585560736008,0.1143183708190918,0.11458635330200195,0.01541751200758566,0.015418050796028197,0
4,0,measure,4,512,3.3037071228027344,154.9774180846998,38.75086958806426,0.23866212368011475,0.23962998390197754,0.02412983939403624,0.024133293647465744,0
4,1,measure,4,512,3.211456775665283,159.42920480190315,39.85900201022609,0.17828744649887085,0.17870068550109863,0.02388214407943365,0.023885368362186462,0
4,2,measure,4,512,3.2442033290863037,157.81994778490025,39.45671452601226,0.20267218351364136,0.20315957069396973,0.023947945729954036,0.023951089288306047,0
8,0,measure,8,1024,5.899420976638794,173.57635673991618,21.70467112563611,0.38046500086784363,0.3816792964935303,0.04344002679577024,0.04344678488303357,0
8,1,measure,8,1024,5.9617884159088135,171.76054038876885,21.47852790162482,0.43497994542121887,0.43685317039489746,0.04349968752523107,0.04350607413945236,0
8,2,measure,8,1024,5.879991054534912,174.14992480477423,21.779528412500714,0.3295374810695648,0.33270859718322754,0.04368142795375013,0.04368385930699626,0
16,0,measure,16,2048,15.50171184539795,132.1144413226851,8.261307073729045,0.4744010865688324,0.4776115417480469,0.11826391107454075,0.1182905764091672,0
16,1,measure,16,2048,15.868754386901855,129.0586488433162,8.073543422655824,0.6231688857078552,0.6378152370452881,0.11992983954159293,0.1199412327113114,0
16,2,measure,16,2048,16.06080985069275,127.51536311300416,7.978185576413041,0.6157607585191727,0.6299571990966797,0.12148026547094029,0.1214883571534645,0
